id,joules,dataset,algorithm,features,exp
197,28.471546,orig,lr,20f,orig_lr_20f_d
198,27.582693,orig,lr,20f,orig_lr_20f_d
199,2.629143,orig,lr,10f,orig_lr_10f_d
200,2.684685,orig,lr,10f,orig_lr_10f_d
201,2.737419,orig,lr,10f,orig_lr_10f_d
202,5.807113999999999,orig,lr,15f,orig_lr_15f_d
203,5.643358,orig,lr,15f,orig_lr_15f_d
204,5.751938,orig,lr,15f,orig_lr_15f_d
205,5.975021,orig,lr,20f,orig_lr_20f_d
206,5.899216,orig,lr,20f,orig_lr_20f_d
207,5.848129999999999,orig,lr,20f,orig_lr_20f_d
208,2.951347,orig,lr,10f,orig_lr_10f_d
209,3.043326,orig,lr,10f,orig_lr_10f_d
210,2.999565,orig,lr,10f,orig_lr_10f_d
211,12.899381,orig,lr,15f,orig_lr_15f_d
212,13.447048,orig,lr,15f,orig_lr_15f_d
213,12.740141,orig,lr,15f,orig_lr_15f_d
214,17.618729,orig,lr,20f,orig_lr_20f_d
215,17.359147,orig,lr,20f,orig_lr_20f_d
216,17.679396999999998,orig,lr,20f,orig_lr_20f_d
217,8.366189,anon,lr,10f,anon_lr_10f_s
218,8.41343,anon,lr,10f,anon_lr_10f_s
219,7.775187,anon,lr,10f,anon_lr_10f_s
220,7.405437999999999,anon,lr,15f,anon_lr_15f_s
221,7.064617999999999,anon,lr,15f,anon_lr_15f_s
222,7.283428,anon,lr,15f,anon_lr_15f_s
223,9.400671,anon,lr,20f,anon_lr_20f_s
224,10.419285,anon,lr,20f,anon_lr_20f_s
225,10.173374,anon,lr,20f,anon_lr_20f_s
226,0.670164,anon,lr,10f,anon_lr_10f_s
227,0.679075,anon,lr,10f,anon_lr_10f_s
228,0.7296119999999999,anon,lr,10f,anon_lr_10f_s
229,0.822569,anon,lr,15f,anon_lr_15f_s
230,0.75659,anon,lr,15f,anon_lr_15f_s
231,0.846128,anon,lr,15f,anon_lr_15f_s
232,1.051144,anon,lr,20f,anon_lr_20f_s
233,1.052914,anon,lr,20f,anon_lr_20f_s
234,0.8669399999999999,anon,lr,20f,anon_lr_20f_s
235,6.382857,anon,lr,10f,anon_lr_10f_s
236,6.325423,anon,lr,10f,anon_lr_10f_s
237,6.094405999999999,anon,lr,10f,anon_lr_10f_s
238,4.993274,anon,lr,15f,anon_lr_15f_s
239,4.752368,anon,lr,15f,anon_lr_15f_s
240,4.744617,anon,lr,15f,anon_lr_15f_s
241,7.205731,anon,lr,20f,anon_lr_20f_s
242,7.231915,anon,lr,20f,anon_lr_20f_s
243,6.669905,anon,lr,20f,anon_lr_20f_s
244,5.116076,anon,lr,10f,anon_lr_10f_s
245,5.464891,anon,lr,10f,anon_lr_10f_s
246,5.785996,anon,lr,10f,anon_lr_10f_s
247,8.218361999999999,anon,lr,15f,anon_lr_15f_s
248,8.397074,anon,lr,15f,anon_lr_15f_s
249,8.210611,anon,lr,15f,anon_lr_15f_s
250,5.637864,anon,lr,20f,anon_lr_20f_s
251,4.747974,anon,lr,20f,anon_lr_20f_s
252,4.877733999999999,anon,lr,20f,anon_lr_20f_s
253,0.828917,anon,lr,10f,anon_lr_10f_s
254,0.820921,anon,lr,10f,anon_lr_10f_s
255,0.833189,anon,lr,10f,anon_lr_10f_s
256,0.7800889999999999,anon,lr,15f,anon_lr_15f_s
257,0.779296,anon,lr,15f,anon_lr_15f_s
258,0.8379489999999999,anon,lr,15f,anon_lr_15f_s
259,0.6322019999999999,anon,lr,20f,anon_lr_20f_s
260,0.633787,anon,lr,20f,anon_lr_20f_s
261,0.5648179999999999,anon,lr,20f,anon_lr_20f_s
262,4.802172,anon,lr,10f,anon_lr_10f_s
263,4.809193,anon,lr,10f,anon_lr_10f_s
264,4.818469,anon,lr,10f,anon_lr_10f_s
265,6.100753,anon,lr,15f,anon_lr_15f_s
266,5.922287,anon,lr,15f,anon_lr_15f_s
267,5.909897,anon,lr,15f,anon_lr_15f_s
268,6.621747999999999,anon,lr,20f,anon_lr_20f_s
269,6.453596999999999,anon,lr,20f,anon_lr_20f_s
270,6.764631,anon,lr,20f,anon_lr_20f_s
271,440.45627,orig,lr,10f,orig_lr_10f_s
272,451.479984,orig,lr,10f,orig_lr_10f_s
273,441.435576,orig,lr,10f,orig_lr_10f_s
274,722.4548149999999,orig,lr,15f,orig_lr_15f_s
275,717.5925239999999,orig,lr,15f,orig_lr_15f_s
276,708.286089,orig,lr,15f,orig_lr_15f_s
277,748.613257,orig,lr,20f,orig_lr_20f_s
278,729.030727,orig,lr,20f,orig_lr_20f_s
279,735.7334079999999,orig,lr,20f,orig_lr_20f_s
280,8.83799,orig,lr,10f,orig_lr_10f_s
281,8.819251999999999,orig,lr,10f,orig_lr_10f_s
282,8.709572999999999,orig,lr,10f,orig_lr_10f_s
283,10.919772,orig,lr,15f,orig_lr_15f_s
284,11.22397,orig,lr,15f,orig_lr_15f_s
285,11.0394,orig,lr,15f,orig_lr_15f_s
286,16.74599,orig,lr,20f,orig_lr_20f_s
287,14.778099,orig,lr,20f,orig_lr_20f_s
288,15.709311,orig,lr,20f,orig_lr_20f_s
289,193.084893,orig,lr,10f,orig_lr_10f_s
290,212.944829,orig,lr,10f,orig_lr_10f_s
291,209.401868,orig,lr,10f,orig_lr_10f_s
292,248.416113,orig,lr,15f,orig_lr_15f_s
293,273.914338,orig,lr,15f,orig_lr_15f_s
294,250.719573,orig,lr,15f,orig_lr_15f_s
295,343.696997,orig,lr,20f,orig_lr_20f_s
296,324.038294,orig,lr,20f,orig_lr_20f_s
297,323.221463,orig,lr,20f,orig_lr_20f_s
298,449.926521,orig,lr,10f,orig_lr_10f_s
299,452.831544,orig,lr,10f,orig_lr_10f_s
300,444.313071,orig,lr,10f,orig_lr_10f_s
301,636.3321109999999,orig,lr,15f,orig_lr_15f_s
302,620.6046729999999,orig,lr,15f,orig_lr_15f_s
303,620.757627,orig,lr,15f,orig_lr_15f_s
304,539.636618,orig,lr,20f,orig_lr_20f_s
305,541.6065239999999,orig,lr,20f,orig_lr_20f_s
306,542.371719,orig,lr,20f,orig_lr_20f_s
307,9.422768,orig,lr,10f,orig_lr_10f_s
308,9.387976,orig,lr,10f,orig_lr_10f_s
309,8.924965,orig,lr,10f,orig_lr_10f_s
310,12.052766,orig,lr,15f,orig_lr_15f_s
311,12.034211,orig,lr,15f,orig_lr_15f_s
312,13.179533,orig,lr,15f,orig_lr_15f_s
313,16.711444,orig,lr,20f,orig_lr_20f_s
314,15.976278,orig,lr,20f,orig_lr_20f_s
315,13.828333,orig,lr,20f,orig_lr_20f_s
316,199.901954,orig,lr,10f,orig_lr_10f_s
317,205.752647,orig,lr,10f,orig_lr_10f_s
318,207.03487,orig,lr,10f,orig_lr_10f_s
319,278.966327,orig,lr,15f,orig_lr_15f_s
320,301.134116,orig,lr,15f,orig_lr_15f_s
321,274.294647,orig,lr,15f,orig_lr_15f_s
322,314.552051,orig,lr,20f,orig_lr_20f_s
323,316.640363,orig,lr,20f,orig_lr_20f_s
324,321.887359,orig,lr,20f,orig_lr_20f_s
