id,joules,dataset
500,4.253285,orig
501,4.3146249999999995,orig
502,4.126211,orig
503,3.76177,orig
504,3.670096,orig
505,7.707805,orig
506,7.7720139999999995,orig
507,7.522625,orig
508,21.110236999999998,orig
509,20.034983999999998,orig
510,20.863473,orig
511,19.740733,orig
512,18.980909,orig
513,18.503797,orig
514,6.427290999999999,orig
515,6.224716,orig
516,6.8466629999999995,orig
517,26.71972,orig
518,27.209525,orig
519,26.803030999999997,orig
520,28.187732999999998,orig
521,28.471546,orig
522,27.582693,orig
523,2.629143,orig
524,2.684685,orig
525,2.737419,orig
526,5.807113999999999,orig
527,5.643358,orig
528,5.751938,orig
529,5.975021,orig
530,5.899216,orig
531,5.848129999999999,orig
532,2.9513469999999997,orig
533,3.043326,orig
534,2.999565,orig
535,12.899381,orig
536,13.447047999999999,orig
537,12.740141,orig
538,17.618729,orig
539,17.359147,orig
540,17.679396999999998,orig
541,1396.302944,anon
542,1384.453975,anon
543,1388.482652,anon
544,1754.872766,anon
545,1752.251069,anon
546,1751.603914,anon
547,2248.981668,anon
548,2231.23495,anon
549,2235.7799809999997,anon
550,422.05195799999996,anon
551,421.713397,anon
552,422.529252,anon
553,464.441804,anon
554,460.451276,anon
555,459.60062999999997,anon
556,470.620439,anon
557,471.654066,anon
558,470.39845399999996,anon
559,735.273326,anon
560,749.082372,anon
561,745.100569,anon
562,1163.085646,anon
563,1133.915493,anon
564,1144.304383,anon
565,1251.453828,anon
566,1252.500944,anon
567,1247.809855,anon
568,1279.669515,anon
569,1281.792189,anon
570,1268.273303,anon
571,1799.1278399999999,anon
572,1787.685303,anon
573,1787.226808,anon
574,2224.420515,anon
575,2218.3627899999997,anon
576,2209.6858709999997,anon
577,404.53009299999997,anon
578,398.156879,anon
579,404.86895899999996,anon
580,459.178634,anon
581,459.09281899999996,anon
582,452.717896,anon
583,456.52885999999995,anon
584,458.615586,anon
585,456.51262499999996,anon
586,698.185346,anon
587,701.8490949999999,anon
588,708.765215,anon
589,1112.598348,anon
590,1103.218001,anon
591,1098.411555,anon
592,1165.317024,anon
593,1171.416679,anon
594,1160.500386,anon
595,1887.8094979999998,orig
596,1892.879798,orig
597,1893.536596,orig
598,2424.206869,orig
599,2418.6382169999997,orig
600,2404.9934169999997,orig
601,2634.422944,orig
602,2603.3934209999998,orig
603,2628.227646,orig
604,467.584619,orig
605,473.998176,orig
606,473.831978,orig
607,502.538936,orig
608,504.201956,orig
609,500.92987,orig
610,508.58872499999995,orig
611,509.075723,orig
612,506.763778,orig
613,1192.84918,orig
614,1187.731029,orig
615,1186.879164,orig
616,-260864.8639,orig
617,1273.092261,orig
618,1276.7693749999999,orig
619,1406.142092,orig
620,1410.708363,orig
621,1402.341442,orig
622,1906.8576059999998,orig
623,1960.0627319999999,orig
624,1959.0468039999998,orig
625,2445.207669,orig
626,2422.335841,orig
627,2418.7472869999997,orig
628,2601.763725,orig
629,2586.624848,orig
630,2593.9267099999997,orig
631,480.62908,orig
632,483.91074799999996,orig
633,481.88780399999996,orig
634,500.21435599999995,orig
635,499.855349,orig
636,501.925168,orig
637,517.655169,orig
638,516.800983,orig
639,521.946052,orig
640,869.206881,orig
641,873.761801,orig
642,874.5064289999999,orig
643,1335.4277339999999,orig
644,1327.523579,orig
645,1327.019796,orig
646,1383.8553439999998,orig
647,1399.12972,orig
648,1401.013504,orig
649,0.9409759999999999,anon
650,0.9047219999999999,anon
651,0.935666,anon
652,1.510861,anon
653,1.411556,anon
654,1.3406939999999998,anon
655,1.909297,anon
656,1.921808,anon
657,1.792171,anon
658,0.143554,anon
659,0.179259,anon
660,0.153992,anon
661,0.177124,anon
662,0.17748899999999998,anon
663,0.174376,anon
664,0.23168899999999998,anon
665,0.213133,anon
666,0.234619,anon
667,0.467589,anon
668,0.464964,anon
669,0.432799,anon
670,0.6419039999999999,anon
671,0.6447729999999999,anon
672,0.606688,anon
673,0.815245,anon
674,0.8693219999999999,anon
675,0.8744489999999999,anon
676,0.9452499999999999,anon
677,0.9426249999999999,anon
678,0.900327,anon
679,1.383481,anon
680,1.3679169999999998,anon
681,1.3715789999999999,anon
682,1.745053,anon
683,1.8214679999999999,anon
684,1.758967,anon
685,0.156127,anon
686,0.11096099999999999,anon
687,0.23626699999999998,anon
688,0.173889,anon
689,0.179809,anon
690,0.174926,anon
691,0.175109,anon
692,0.204345,anon
693,0.236511,anon
694,0.411925,anon
695,0.44439599999999996,anon
696,0.44500599999999996,anon
697,0.7117899999999999,anon
698,0.670408,anon
699,0.644164,anon
700,0.882749,anon
701,0.868711,anon
702,0.868528,anon
703,1.003966,orig
704,0.9652689999999999,orig
705,0.966368,orig
706,1.468197,orig
707,1.472226,orig
708,1.392819,orig
709,1.8041939999999999,orig
710,1.7455399999999999,orig
711,1.8345289999999999,orig
712,0.172728,orig
713,0.19927899999999998,orig
714,0.176391,orig
715,0.209106,orig
716,0.175292,orig
717,0.173462,orig
718,0.267212,orig
719,0.22472999999999999,orig
720,0.23083499999999998,orig
721,0.526489,orig
722,0.46423299999999995,orig
723,0.46807699999999997,orig
724,0.701048,orig
725,0.645323,orig
726,0.6422709999999999,orig
727,0.916014,orig
728,0.896482,orig
729,0.9283429999999999,orig
730,0.9449449999999999,orig
731,0.9873639999999999,orig
732,0.980954,orig
733,1.612422,orig
734,1.418515,orig
735,1.31976,orig
736,1.8046209999999998,orig
737,1.7767279999999999,orig
738,1.8055979999999998,orig
739,0.173157,orig
740,0.152221,orig
741,0.177124,orig
742,0.174255,orig
743,0.174622,orig
744,0.174011,orig
745,0.165405,orig
746,0.20049999999999998,orig
747,0.17535299999999998,orig
748,0.460937,orig
749,0.462096,orig
750,0.467284,orig
751,0.698484,orig
752,0.648497,orig
753,0.643247,orig
754,0.902037,orig
755,0.9420149999999999,orig
756,0.8696879999999999,orig
757,8.366189,anon
758,8.41343,anon
759,7.775187,anon
760,7.405437999999999,anon
761,7.064617999999999,anon
762,7.283428,anon
763,9.400670999999999,anon
764,10.419285,anon
765,10.173373999999999,anon
766,0.670164,anon
767,0.679075,anon
768,0.7296119999999999,anon
769,0.822569,anon
770,0.75659,anon
771,0.846128,anon
772,1.0511439999999999,anon
773,1.052914,anon
774,0.8669399999999999,anon
775,6.382857,anon
776,6.325423,anon
777,6.094405999999999,anon
778,4.9932739999999995,anon
779,4.752368,anon
780,4.744617,anon
781,7.205731,anon
782,7.231915,anon
783,6.669905,anon
784,5.116076,anon
785,5.464891,anon
786,5.785996,anon
787,8.218361999999999,anon
788,8.397074,anon
789,8.210611,anon
790,5.6378639999999995,anon
791,4.747974,anon
792,4.877733999999999,anon
793,0.828917,anon
794,0.820921,anon
795,0.833189,anon
796,0.7800889999999999,anon
797,0.779296,anon
798,0.8379489999999999,anon
799,0.6322019999999999,anon
800,0.633787,anon
801,0.5648179999999999,anon
802,4.802172,anon
803,4.809193,anon
804,4.8184689999999994,anon
805,6.100753,anon
806,5.922287,anon
807,5.909897,anon
808,6.621747999999999,anon
809,6.453596999999999,anon
810,6.764631,anon
811,440.45626999999996,orig
812,451.479984,orig
813,441.43557599999997,orig
814,722.4548149999999,orig
815,717.5925239999999,orig
816,708.286089,orig
817,748.613257,orig
818,729.030727,orig
819,735.7334079999999,orig
820,8.83799,orig
821,8.819251999999999,orig
822,8.709572999999999,orig
823,10.919772,orig
824,11.22397,orig
825,11.039399999999999,orig
826,16.74599,orig
827,14.778099,orig
828,15.709311,orig
829,193.084893,orig
830,212.944829,orig
831,209.40186799999998,orig
832,248.416113,orig
833,273.914338,orig
834,250.719573,orig
835,343.696997,orig
836,324.038294,orig
837,323.22146299999997,orig
838,449.926521,orig
839,452.83154399999995,orig
840,444.313071,orig
841,636.3321109999999,orig
842,620.6046729999999,orig
843,620.757627,orig
844,539.636618,orig
845,541.6065239999999,orig
846,542.371719,orig
847,9.422768,orig
848,9.387976,orig
849,8.924965,orig
850,12.052766,orig
851,12.034210999999999,orig
852,13.179533,orig
853,16.711444,orig
854,15.976277999999999,orig
855,13.828332999999999,orig
856,199.901954,orig
857,205.752647,orig
858,207.03486999999998,orig
859,278.966327,orig
860,301.134116,orig
861,274.294647,orig
862,314.552051,orig
863,316.640363,orig
864,321.887359,orig
865,648.4014169999999,anon
866,648.625536,anon
867,657.3781389999999,anon
868,839.409899,anon
869,819.203225,anon
870,815.8874989999999,anon
871,963.893102,anon
872,955.4879099999999,anon
873,951.887761,anon
874,399.321426,anon
875,391.203955,anon
876,394.005705,anon
877,404.244266,anon
878,402.034676,anon
879,399.094499,anon
880,438.119484,anon
881,436.89237499999996,anon
882,433.58061599999996,anon
883,481.64622799999995,anon
884,482.11454899999995,anon
885,485.512185,anon
886,558.93021,anon
887,557.621009,anon
888,554.715682,anon
889,608.679838,anon
890,596.748106,anon
891,591.9360459999999,anon
892,635.8527429999999,anon
893,637.150529,anon
894,639.885813,anon
895,832.444219,anon
896,818.579203,anon
897,810.678467,anon
898,942.371551,anon
899,931.115292,anon
900,922.46291,anon
901,383.996575,anon
902,384.123163,anon
903,389.176066,anon
904,428.85254,anon
905,429.203063,anon
906,433.224477,anon
907,430.186766,anon
908,426.89917499999996,anon
909,424.81141199999996,anon
910,508.381756,anon
911,506.039904,anon
912,516.437399,anon
913,541.420184,anon
914,538.803492,anon
915,542.03151,anon
916,606.853183,anon
917,599.12847,anon
918,596.353088,anon
919,844.167151,orig
920,838.941822,orig
921,847.9649929999999,orig
922,932.154535,orig
923,931.289181,orig
924,910.5344729999999,orig
925,1118.468878,orig
926,1104.838726,orig
927,1089.70351,orig
928,427.19794099999996,orig
929,420.386986,orig
930,429.421385,orig
931,452.46057299999995,orig
932,448.99647,orig
933,449.06959,orig
934,500.759094,orig
935,500.255189,orig
936,497.688607,orig
937,655.9964279999999,orig
938,638.902478,orig
939,643.8354499999999,orig
940,683.10311,orig
941,687.894968,orig
942,675.095867,orig
943,768.649642,orig
944,755.1025599999999,orig
945,755.772297,orig
946,792.463364,orig
947,792.354967,orig
948,789.9709389999999,orig
949,927.44422,orig
950,917.572235,orig
951,900.2763199999999,orig
952,1046.7597719999999,orig
953,1035.4659159999999,orig
954,1034.923741,orig
955,410.751878,orig
956,408.842825,orig
957,411.367233,orig
958,478.160153,orig
959,476.78533899999996,orig
960,474.700444,orig
961,466.95113599999996,orig
962,466.051603,orig
963,463.628451,orig
964,614.109024,orig
965,622.9973679999999,orig
966,627.082317,orig
967,690.469241,orig
968,692.370237,orig
969,685.260636,orig
970,771.3480629999999,orig
971,769.42613,orig
972,762.665711,orig
