id,joules,dataset,algorithm,features,exp
207,23.66205,orig,lr,20f,orig_lr_20f_a
208,56.280128999999995,orig,lr,10f,orig_lr_10f_a
209,55.102641999999996,orig,lr,10f,orig_lr_10f_a
210,54.744122,orig,lr,10f,orig_lr_10f_a
211,84.000946,orig,lr,15f,orig_lr_15f_a
212,76.183887,orig,lr,15f,orig_lr_15f_a
213,74.625969,orig,lr,15f,orig_lr_15f_a
214,97.29101,orig,lr,20f,orig_lr_20f_a
215,88.620014,orig,lr,20f,orig_lr_20f_a
216,94.57306,orig,lr,20f,orig_lr_20f_a
217,1493.406943,anon,rf,10f,anon_rf_10f_a
218,1469.934347,anon,rf,10f,anon_rf_10f_a
219,1465.014621,anon,rf,10f,anon_rf_10f_a
220,2116.90083,anon,rf,15f,anon_rf_15f_a
221,2084.09525,anon,rf,15f,anon_rf_15f_a
222,2011.870399,anon,rf,15f,anon_rf_15f_a
223,1698.986007,anon,rf,20f,anon_rf_20f_a
224,1667.182988,anon,rf,20f,anon_rf_20f_a
225,1670.9836369999998,anon,rf,20f,anon_rf_20f_a
226,427.354497,anon,rf,10f,anon_rf_10f_a
227,431.929741,anon,rf,10f,anon_rf_10f_a
228,430.669003,anon,rf,10f,anon_rf_10f_a
229,463.563083,anon,rf,15f,anon_rf_15f_a
230,456.523124,anon,rf,15f,anon_rf_15f_a
231,457.177357,anon,rf,15f,anon_rf_15f_a
232,535.014988,anon,rf,20f,anon_rf_20f_a
233,527.135003,anon,rf,20f,anon_rf_20f_a
234,527.303459,anon,rf,20f,anon_rf_20f_a
235,841.375775,anon,rf,10f,anon_rf_10f_a
236,842.156719,anon,rf,10f,anon_rf_10f_a
237,840.530807,anon,rf,10f,anon_rf_10f_a
238,1033.627603,anon,rf,15f,anon_rf_15f_a
239,1003.299678,anon,rf,15f,anon_rf_15f_a
240,1014.8233899999999,anon,rf,15f,anon_rf_15f_a
241,1046.256598,anon,rf,20f,anon_rf_20f_a
242,992.8907069999999,anon,rf,20f,anon_rf_20f_a
243,993.5297439999999,anon,rf,20f,anon_rf_20f_a
244,1325.717432,anon,rf,10f,anon_rf_10f_a
245,1288.505612,anon,rf,10f,anon_rf_10f_a
246,1282.618115,anon,rf,10f,anon_rf_10f_a
247,1773.847571,anon,rf,15f,anon_rf_15f_a
248,1709.228535,anon,rf,15f,anon_rf_15f_a
249,1752.339874,anon,rf,15f,anon_rf_15f_a
250,2382.956912,anon,rf,20f,anon_rf_20f_a
251,2398.257288,anon,rf,20f,anon_rf_20f_a
252,2261.521433,anon,rf,20f,anon_rf_20f_a
253,448.989147,anon,rf,10f,anon_rf_10f_a
254,454.079281,anon,rf,10f,anon_rf_10f_a
255,453.617552,anon,rf,10f,anon_rf_10f_a
256,453.104858,anon,rf,15f,anon_rf_15f_a
257,445.179464,anon,rf,15f,anon_rf_15f_a
258,444.869039,anon,rf,15f,anon_rf_15f_a
259,555.461774,anon,rf,20f,anon_rf_20f_a
260,547.747437,anon,rf,20f,anon_rf_20f_a
261,548.008058,anon,rf,20f,anon_rf_20f_a
262,882.8054179999999,anon,rf,10f,anon_rf_10f_a
263,878.0957139999999,anon,rf,10f,anon_rf_10f_a
264,871.36105,anon,rf,10f,anon_rf_10f_a
265,957.8893939999999,anon,rf,15f,anon_rf_15f_a
266,927.7226009999999,anon,rf,15f,anon_rf_15f_a
267,938.861488,anon,rf,15f,anon_rf_15f_a
268,1060.773347,anon,rf,20f,anon_rf_20f_a
269,1050.329098,anon,rf,20f,anon_rf_20f_a
270,1044.601695,anon,rf,20f,anon_rf_20f_a
271,3594.555007,orig,rf,10f,orig_rf_10f_a
272,3607.1865049999997,orig,rf,10f,orig_rf_10f_a
273,3706.617953,orig,rf,10f,orig_rf_10f_a
274,5021.967122999999,orig,rf,15f,orig_rf_15f_a
275,4851.286225,orig,rf,15f,orig_rf_15f_a
276,4950.593832,orig,rf,15f,orig_rf_15f_a
277,10520.75407,orig,rf,20f,orig_rf_20f_a
278,10399.90917,orig,rf,20f,orig_rf_20f_a
279,10441.80695,orig,rf,20f,orig_rf_20f_a
280,713.1419129999999,orig,rf,10f,orig_rf_10f_a
281,713.552495,orig,rf,10f,orig_rf_10f_a
282,719.6754649999999,orig,rf,10f,orig_rf_10f_a
283,767.6515989999999,orig,rf,15f,orig_rf_15f_a
284,748.439856,orig,rf,15f,orig_rf_15f_a
285,746.857525,orig,rf,15f,orig_rf_15f_a
286,761.954349,orig,rf,20f,orig_rf_20f_a
287,749.551487,orig,rf,20f,orig_rf_20f_a
288,761.4930459999999,orig,rf,20f,orig_rf_20f_a
289,1353.3197169999999,orig,rf,10f,orig_rf_10f_a
290,1378.669078,orig,rf,10f,orig_rf_10f_a
291,1357.4202309999998,orig,rf,10f,orig_rf_10f_a
292,3216.6441689999997,orig,rf,15f,orig_rf_15f_a
293,3106.8039369999997,orig,rf,15f,orig_rf_15f_a
294,2855.878553,orig,rf,15f,orig_rf_15f_a
295,4345.686812,orig,rf,20f,orig_rf_20f_a
296,4597.5590919999995,orig,rf,20f,orig_rf_20f_a
297,4416.977523,orig,rf,20f,orig_rf_20f_a
298,8801.196402,orig,rf,10f,orig_rf_10f_a
299,8862.085528,orig,rf,10f,orig_rf_10f_a
300,8575.589069,orig,rf,10f,orig_rf_10f_a
301,7588.257796,orig,rf,15f,orig_rf_15f_a
302,7448.669529,orig,rf,15f,orig_rf_15f_a
303,7438.296143,orig,rf,15f,orig_rf_15f_a
304,8138.478494999999,orig,rf,20f,orig_rf_20f_a
305,7955.754779,orig,rf,20f,orig_rf_20f_a
306,7783.780793999999,orig,rf,20f,orig_rf_20f_a
307,681.642176,orig,rf,10f,orig_rf_10f_a
308,678.815339,orig,rf,10f,orig_rf_10f_a
309,681.835107,orig,rf,10f,orig_rf_10f_a
310,728.100736,orig,rf,15f,orig_rf_15f_a
311,716.783505,orig,rf,15f,orig_rf_15f_a
312,703.9208669999999,orig,rf,15f,orig_rf_15f_a
313,808.965275,orig,rf,20f,orig_rf_20f_a
314,791.130176,orig,rf,20f,orig_rf_20f_a
315,793.772749,orig,rf,20f,orig_rf_20f_a
316,1887.658132,orig,rf,10f,orig_rf_10f_a
317,1967.232575,orig,rf,10f,orig_rf_10f_a
318,1950.145032,orig,rf,10f,orig_rf_10f_a
319,2944.292634,orig,rf,15f,orig_rf_15f_a
320,2982.983696,orig,rf,15f,orig_rf_15f_a
321,2950.3495629999998,orig,rf,15f,orig_rf_15f_a
322,4211.091941,orig,rf,20f,orig_rf_20f_a
323,4236.481342,orig,rf,20f,orig_rf_20f_a
324,4195.306093,orig,rf,20f,orig_rf_20f_a
325,1.030027,anon,knn,10f,anon_knn_10f_d
326,1.005063,anon,knn,10f,anon_knn_10f_d
327,1.02783,anon,knn,10f,anon_knn_10f_d
328,1.6827949999999998,anon,knn,15f,anon_knn_15f_d
