id,joules,dataset,algorithm,features,exp
112,1754.872766,anon,rf,15f,anon_rf_15f_d
113,1752.251069,anon,rf,15f,anon_rf_15f_d
114,1751.603914,anon,rf,15f,anon_rf_15f_d
115,2248.981668,anon,rf,20f,anon_rf_20f_d
116,2231.23495,anon,rf,20f,anon_rf_20f_d
117,2235.779981,anon,rf,20f,anon_rf_20f_d
118,422.051958,anon,rf,10f,anon_rf_10f_d
119,421.713397,anon,rf,10f,anon_rf_10f_d
120,422.529252,anon,rf,10f,anon_rf_10f_d
121,464.441804,anon,rf,15f,anon_rf_15f_d
122,460.451276,anon,rf,15f,anon_rf_15f_d
123,459.60063,anon,rf,15f,anon_rf_15f_d
124,470.620439,anon,rf,20f,anon_rf_20f_d
125,471.654066,anon,rf,20f,anon_rf_20f_d
126,470.398454,anon,rf,20f,anon_rf_20f_d
127,735.273326,anon,rf,10f,anon_rf_10f_d
128,749.082372,anon,rf,10f,anon_rf_10f_d
129,745.100569,anon,rf,10f,anon_rf_10f_d
130,1163.085646,anon,rf,15f,anon_rf_15f_d
131,1133.915493,anon,rf,15f,anon_rf_15f_d
132,1144.304383,anon,rf,15f,anon_rf_15f_d
133,1251.453828,anon,rf,20f,anon_rf_20f_d
134,1252.500944,anon,rf,20f,anon_rf_20f_d
135,1247.809855,anon,rf,20f,anon_rf_20f_d
136,1279.669515,anon,rf,10f,anon_rf_10f_d
137,1281.792189,anon,rf,10f,anon_rf_10f_d
138,1268.273303,anon,rf,10f,anon_rf_10f_d
139,1799.12784,anon,rf,15f,anon_rf_15f_d
140,1787.685303,anon,rf,15f,anon_rf_15f_d
141,1787.226808,anon,rf,15f,anon_rf_15f_d
142,2224.420515,anon,rf,20f,anon_rf_20f_d
143,2218.36279,anon,rf,20f,anon_rf_20f_d
144,2209.685871,anon,rf,20f,anon_rf_20f_d
145,404.530093,anon,rf,10f,anon_rf_10f_d
146,398.156879,anon,rf,10f,anon_rf_10f_d
147,404.868959,anon,rf,10f,anon_rf_10f_d
148,459.178634,anon,rf,15f,anon_rf_15f_d
149,459.092819,anon,rf,15f,anon_rf_15f_d
150,452.717896,anon,rf,15f,anon_rf_15f_d
151,456.52886,anon,rf,20f,anon_rf_20f_d
152,458.615586,anon,rf,20f,anon_rf_20f_d
153,456.512625,anon,rf,20f,anon_rf_20f_d
154,698.185346,anon,rf,10f,anon_rf_10f_d
155,701.8490949999999,anon,rf,10f,anon_rf_10f_d
156,708.765215,anon,rf,10f,anon_rf_10f_d
157,1112.598348,anon,rf,15f,anon_rf_15f_d
158,1103.218001,anon,rf,15f,anon_rf_15f_d
159,1098.411555,anon,rf,15f,anon_rf_15f_d
160,1165.317024,anon,rf,20f,anon_rf_20f_d
161,1171.416679,anon,rf,20f,anon_rf_20f_d
162,1160.500386,anon,rf,20f,anon_rf_20f_d
163,1887.809498,orig,rf,10f,orig_rf_10f_d
164,1892.879798,orig,rf,10f,orig_rf_10f_d
165,1893.536596,orig,rf,10f,orig_rf_10f_d
166,2424.206869,orig,rf,15f,orig_rf_15f_d
167,2418.638217,orig,rf,15f,orig_rf_15f_d
168,2404.993417,orig,rf,15f,orig_rf_15f_d
169,2634.422944,orig,rf,20f,orig_rf_20f_d
170,2603.393421,orig,rf,20f,orig_rf_20f_d
171,2628.227646,orig,rf,20f,orig_rf_20f_d
172,467.584619,orig,rf,10f,orig_rf_10f_d
173,473.998176,orig,rf,10f,orig_rf_10f_d
174,473.831978,orig,rf,10f,orig_rf_10f_d
175,502.538936,orig,rf,15f,orig_rf_15f_d
176,504.201956,orig,rf,15f,orig_rf_15f_d
177,500.92987,orig,rf,15f,orig_rf_15f_d
178,508.588725,orig,rf,20f,orig_rf_20f_d
179,509.075723,orig,rf,20f,orig_rf_20f_d
180,506.763778,orig,rf,20f,orig_rf_20f_d
181,1192.84918,orig,rf,10f,orig_rf_10f_d
182,1187.731029,orig,rf,10f,orig_rf_10f_d
183,1186.879164,orig,rf,10f,orig_rf_10f_d
184,-260864.8639,orig,rf,15f,orig_rf_15f_d
185,1273.092261,orig,rf,15f,orig_rf_15f_d
186,1276.769375,orig,rf,15f,orig_rf_15f_d
187,1406.142092,orig,rf,20f,orig_rf_20f_d
188,1410.708363,orig,rf,20f,orig_rf_20f_d
189,1402.341442,orig,rf,20f,orig_rf_20f_d
190,1906.857606,orig,rf,10f,orig_rf_10f_d
191,1960.062732,orig,rf,10f,orig_rf_10f_d
192,1959.046804,orig,rf,10f,orig_rf_10f_d
193,2445.207669,orig,rf,15f,orig_rf_15f_d
194,2422.335841,orig,rf,15f,orig_rf_15f_d
195,2418.747287,orig,rf,15f,orig_rf_15f_d
196,2601.763725,orig,rf,20f,orig_rf_20f_d
197,2586.624848,orig,rf,20f,orig_rf_20f_d
198,2593.92671,orig,rf,20f,orig_rf_20f_d
199,480.62908,orig,rf,10f,orig_rf_10f_d
200,483.910748,orig,rf,10f,orig_rf_10f_d
201,481.887804,orig,rf,10f,orig_rf_10f_d
202,500.214356,orig,rf,15f,orig_rf_15f_d
203,499.855349,orig,rf,15f,orig_rf_15f_d
